Variable	Year	Month	Value	Unit	Source	State	County	Country
Percentage of livestock with Peste des Petits Ruminants (PPR) that are reported	2017	4	40	%	CLiMIS	Eastern Equatoria		South Sudan
Percentage of livestock with Peste des Petits Ruminants (PPR) that are vaccinated	2017	4	50	%	CLiMIS	Eastern Equatoria		South Sudan
Percentage of livestock with Peste des Petits Ruminants (PPR) that are treated	2017	3	75	%	CLiMIS	Eastern Equatoria		South Sudan
Percentage of livestock with Peste des Petits Ruminants (PPR) that are treated	2017	4	75	%	CLiMIS	Eastern Equatoria		South Sudan
Percentage of livestock with Other diseases that are reported	2017	4	20	%	CLiMIS	Eastern Equatoria		South Sudan
Percentage of livestock with Other diseases that are treated	2017	3	25	%	CLiMIS	Eastern Equatoria		South Sudan
Percentage of livestock with Other diseases that are treated	2017	4	25	%	CLiMIS	Eastern Equatoria		South Sudan
Percentage of livestock with Foot and Mouth Disease (FMD) that are reported	2017	1	100	%	CLiMIS	Jonglei		South Sudan
Percentage of livestock with Foot and Mouth Disease (FMD) that are reported	2017	2	80	%	CLiMIS	Jonglei		South Sudan
Percentage of livestock with Lumpy Skin Disease (LSD) that are reported	2017	1	100	%	CLiMIS	Northern Bahr El Ghazal		South Sudan
Percentage of livestock with Lumpy Skin Disease (LSD) that are reported	2017	2	50	%	CLiMIS	Northern Bahr El Ghazal		South Sudan
Percentage of livestock with Other diseases that are reported	2017	2	50	%	CLiMIS	Northern Bahr El Ghazal		South Sudan
Vaccinated	2017	1	100	%	CLiMIS	Northern Bahr El Ghazal		South Sudan
Vaccinated	2017	2	50	%	CLiMIS	Northern Bahr El Ghazal		South Sudan
Percentage of livestock with Foot and Mouth Disease (FMD) that are reported	2017	1	40	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Foot and Mouth Disease (FMD) that are reported	2017	3	100	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Foot and Mouth Disease (FMD) that are reported	2017	4	100	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Contagious Bovine Pleuropneumonia (CBPP) that are reported	2017	1	60	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Contagious Bovine Pleuropneumonia (CBPP) that are vaccinated	2017	3	100	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Contagious Bovine Pleuropneumonia (CBPP) that are vaccinated	2017	4	100	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Contagious Caprine Pleuropneumonia (CCPP) that are reported	2017	1	40	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Peste des Petits Ruminants (PPR) that are reported	2017	1	10	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Peste des Petits Ruminants (PPR) that are reported	2017	3	40	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Peste des Petits Ruminants (PPR) that are reported	2017	4	100	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Peste des Petits Ruminants (PPR) that are treated	2017	3	60	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Peste des Petits Ruminants (PPR) that are treated	2017	4	100	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Other diseases that are reported	2017	1	10	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Other diseases that are reported	2017	3	80	%	CLiMIS	Warrap		South Sudan
Percentage of livestock with Other diseases that are reported	2017	4	100	%	CLiMIS	Warrap		South Sudan
Average current stock of cattle per household	2017	3	172		CLiMIS	Eastern Equatoria		South Sudan
Average current stock of cattle per household	2017	4	97		CLiMIS	Eastern Equatoria		South Sudan
Average current stock of goat per household	2017	3	268		CLiMIS	Eastern Equatoria		South Sudan
Average current stock of goat per household	2017	4	168		CLiMIS	Eastern Equatoria		South Sudan
Average current stock of sheep per household	2017	3	42		CLiMIS	Eastern Equatoria		South Sudan
Average current stock of sheep per household	2017	4	76		CLiMIS	Eastern Equatoria		South Sudan
Average current stock of poultry per household	2017	3	63		CLiMIS	Eastern Equatoria		South Sudan
Average current stock of poultry per household	2017	4	19		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle born per household during last 4 weeks	2017	3	4		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle born per household during last 4 weeks	2017	4	4		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat born per household during last 4 weeks	2017	3	7		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat born per household during last 4 weeks	2017	4	20		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep born per household during last 4 weeks	2017	3	3		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep born per household during last 4 weeks	2017	4	7		CLiMIS	Eastern Equatoria		South Sudan
Average number of poultry born per household during last 4 weeks	2017	3	20		CLiMIS	Eastern Equatoria		South Sudan
Average number of poultry born per household during last 4 weeks	2017	4	3		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle acquired per household during last 4 weeks (dowry, purchase, gift)	2017	3	3		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle acquired per household during last 4 weeks (dowry, purchase, gift)	2017	4	3		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat acquired per household during last 4 weeks (dowry, purchase, gift)	2017	3	4		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat acquired per household during last 4 weeks (dowry, purchase, gift)	2017	4	5		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep acquired per household during last 4 weeks (dowry, purchase, gift)	2017	3	1		CLiMIS	Eastern Equatoria		South Sudan
Average number of poultry acquired per household during last 4 weeks (dowry, purchase, gift)	2017	4	1		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle given out as bride price/gift per household during last 4 weeks per household	2017	3	7		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle given out as bride price/gift per household during last 4 weeks per household	2017	4	5		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat given out as bride price/gift per household during last 4 weeks per household	2017	3	5		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat given out as bride price/gift per household during last 4 weeks per household	2017	4	13		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep given out as bride price/gift per household during last 4 weeks per household	2017	3	1		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep given out as bride price/gift per household during last 4 weeks per household	2017	4	7		CLiMIS	Eastern Equatoria		South Sudan
Average number of poultry given out as bride price/gift per household during last 4 weeks per household	2017	4	1		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle sold per household during last 4 weeks household	2017	3	4		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle sold per household during last 4 weeks household	2017	4	3		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat sold per household during last 4 weeks household	2017	3	3		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat sold per household during last 4 weeks household	2017	4	3		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep sold per household during last 4 weeks household	2017	3	2		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep sold per household during last 4 weeks household	2017	4	2		CLiMIS	Eastern Equatoria		South Sudan
Average number of poultry sold per household during last 4 weeks household	2017	3	4		CLiMIS	Eastern Equatoria		South Sudan
Average number of poultry sold per household during last 4 weeks household	2017	4	2		CLiMIS	Eastern Equatoria		South Sudan
Average price of cattle sold	2017	3	10,833	SSP	CLiMIS	Eastern Equatoria		South Sudan
Average price of cattle sold	2017	4	10,680	SSP	CLiMIS	Eastern Equatoria		South Sudan
Average price of goat sold	2017	3	910	SSP	CLiMIS	Eastern Equatoria		South Sudan
Average price of goat sold	2017	4	2,329	SSP	CLiMIS	Eastern Equatoria		South Sudan
Average price of sheep sold	2017	3	575	SSP	CLiMIS	Eastern Equatoria		South Sudan
Average price of sheep sold	2017	4	1,894	SSP	CLiMIS	Eastern Equatoria		South Sudan
Average price of poultry sold	2017	3	508	SSP	CLiMIS	Eastern Equatoria		South Sudan
Average price of poultry sold	2017	4	125	SSP	CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle exchanged for grain per household during last 4 weeks	2017	3	1		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle exchanged for grain per household during last 4 weeks	2017	4	1		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat exchanged for grain per household during last 4 weeks	2017	3	3		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat exchanged for grain per household during last 4 weeks	2017	4	1		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep exchanged for grain per household during last 4 weeks	2017	3	2		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep exchanged for grain per household during last 4 weeks	2017	4	1		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle died/slaughtered/lost per  household during last 4 weeks	2017	3	15		CLiMIS	Eastern Equatoria		South Sudan
Average number of cattle died/slaughtered/lost per  household during last 4 weeks	2017	4	5		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat died/slaughtered/lost per  household during last 4 weeks	2017	3	43		CLiMIS	Eastern Equatoria		South Sudan
Average number of goat died/slaughtered/lost per  household during last 4 weeks	2017	4	18		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep died/slaughtered/lost per  household during last 4 weeks	2017	3	3		CLiMIS	Eastern Equatoria		South Sudan
Average number of sheep died/slaughtered/lost per  household during last 4 weeks	2017	4	4		CLiMIS	Eastern Equatoria		South Sudan
Average number of poultry died/slaughtered/lost per  household during last 4 weeks	2017	3	38		CLiMIS	Eastern Equatoria		South Sudan
Average number of poultry died/slaughtered/lost per  household during last 4 weeks	2017	4	7		CLiMIS	Eastern Equatoria		South Sudan
Average current stock of cattle per household	2017	1	2,183		CLiMIS	Jonglei		South Sudan
Average current stock of cattle per household	2017	2	4,580		CLiMIS	Jonglei		South Sudan
Average current stock of goat per household	2017	1	703		CLiMIS	Jonglei		South Sudan
Average current stock of goat per household	2017	2	618		CLiMIS	Jonglei		South Sudan
Average current stock of sheep per household	2017	1	739		CLiMIS	Jonglei		South Sudan
Average current stock of sheep per household	2017	2	418		CLiMIS	Jonglei		South Sudan
Average current stock of poultry per household	2017	1	120		CLiMIS	Jonglei		South Sudan
Average current stock of poultry per household	2017	2	133		CLiMIS	Jonglei		South Sudan
Average number of cattle born per household during last 4 weeks	2017	1	63		CLiMIS	Jonglei		South Sudan
Average number of cattle born per household during last 4 weeks	2017	2	67		CLiMIS	Jonglei		South Sudan
Average number of goat born per household during last 4 weeks	2017	1	15		CLiMIS	Jonglei		South Sudan
Average number of goat born per household during last 4 weeks	2017	2	17		CLiMIS	Jonglei		South Sudan
Average number of sheep born per household during last 4 weeks	2017	1	22		CLiMIS	Jonglei		South Sudan
Average number of sheep born per household during last 4 weeks	2017	2	21		CLiMIS	Jonglei		South Sudan
Average number of poultry born per household during last 4 weeks	2017	1	13		CLiMIS	Jonglei		South Sudan
Average number of poultry born per household during last 4 weeks	2017	2	25		CLiMIS	Jonglei		South Sudan
Average number of cattle acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	155		CLiMIS	Jonglei		South Sudan
Average number of cattle acquired per household during last 4 weeks (dowry, purchase, gift)	2017	2	122		CLiMIS	Jonglei		South Sudan
Average number of goat acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	29		CLiMIS	Jonglei		South Sudan
Average number of goat acquired per household during last 4 weeks (dowry, purchase, gift)	2017	2	22		CLiMIS	Jonglei		South Sudan
Average number of sheep acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	27		CLiMIS	Jonglei		South Sudan
Average number of sheep acquired per household during last 4 weeks (dowry, purchase, gift)	2017	2	19		CLiMIS	Jonglei		South Sudan
Average number of poultry acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	4		CLiMIS	Jonglei		South Sudan
Average number of cattle given out as bride price/gift per household during last 4 weeks per household	2017	1	95		CLiMIS	Jonglei		South Sudan
Average number of cattle given out as bride price/gift per household during last 4 weeks per household	2017	2	79		CLiMIS	Jonglei		South Sudan
Average number of goat given out as bride price/gift per household during last 4 weeks per household	2017	1	12		CLiMIS	Jonglei		South Sudan
Average number of goat given out as bride price/gift per household during last 4 weeks per household	2017	2	12		CLiMIS	Jonglei		South Sudan
Average number of sheep given out as bride price/gift per household during last 4 weeks per household	2017	1	14		CLiMIS	Jonglei		South Sudan
Average number of sheep given out as bride price/gift per household during last 4 weeks per household	2017	2	11		CLiMIS	Jonglei		South Sudan
Average number of poultry given out as bride price/gift per household during last 4 weeks per household	2017	1	4		CLiMIS	Jonglei		South Sudan
Average number of poultry given out as bride price/gift per household during last 4 weeks per household	2017	2	3		CLiMIS	Jonglei		South Sudan
Average number of cattle sold per household during last 4 weeks household	2017	1	8		CLiMIS	Jonglei		South Sudan
Average number of cattle sold per household during last 4 weeks household	2017	2	25		CLiMIS	Jonglei		South Sudan
Average number of goat sold per household during last 4 weeks household	2017	1	9		CLiMIS	Jonglei		South Sudan
Average number of goat sold per household during last 4 weeks household	2017	2	8		CLiMIS	Jonglei		South Sudan
Average number of sheep sold per household during last 4 weeks household	2017	1	9		CLiMIS	Jonglei		South Sudan
Average number of sheep sold per household during last 4 weeks household	2017	2	9		CLiMIS	Jonglei		South Sudan
Average number of poultry sold per household during last 4 weeks household	2017	1	16		CLiMIS	Jonglei		South Sudan
Average number of poultry sold per household during last 4 weeks household	2017	2	7		CLiMIS	Jonglei		South Sudan
Average price of cattle sold	2017	1	8,833	SSP	CLiMIS	Jonglei		South Sudan
Average price of cattle sold	2017	2	10,000	SSP	CLiMIS	Jonglei		South Sudan
Average price of goat sold	2017	1	4,250	SSP	CLiMIS	Jonglei		South Sudan
Average price of goat sold	2017	2	3,900	SSP	CLiMIS	Jonglei		South Sudan
Average price of sheep sold	2017	1	4,091	SSP	CLiMIS	Jonglei		South Sudan
Average price of sheep sold	2017	2	4,200	SSP	CLiMIS	Jonglei		South Sudan
Average price of poultry sold	2017	1	370	SSP	CLiMIS	Jonglei		South Sudan
Average price of poultry sold	2017	2	320	SSP	CLiMIS	Jonglei		South Sudan
Average number of cattle exchanged for grain per household during last 4 weeks	2017	1	5		CLiMIS	Jonglei		South Sudan
Average number of cattle exchanged for grain per household during last 4 weeks	2017	2	5		CLiMIS	Jonglei		South Sudan
Average number of goat exchanged for grain per household during last 4 weeks	2017	1	6		CLiMIS	Jonglei		South Sudan
Average number of goat exchanged for grain per household during last 4 weeks	2017	2	5		CLiMIS	Jonglei		South Sudan
Average number of sheep exchanged for grain per household during last 4 weeks	2017	1	7		CLiMIS	Jonglei		South Sudan
Average number of sheep exchanged for grain per household during last 4 weeks	2017	2	5		CLiMIS	Jonglei		South Sudan
Average number of poultry exchanged for grain per household during last 4 weeks	2017	1	4		CLiMIS	Jonglei		South Sudan
Average number of poultry exchanged for grain per household during last 4 weeks	2017	2	1		CLiMIS	Jonglei		South Sudan
Average number of cattle died/slaughtered/lost per  household during last 4 weeks	2017	1	130		CLiMIS	Jonglei		South Sudan
Average number of cattle died/slaughtered/lost per  household during last 4 weeks	2017	2	357		CLiMIS	Jonglei		South Sudan
Average number of goat died/slaughtered/lost per  household during last 4 weeks	2017	1	37		CLiMIS	Jonglei		South Sudan
Average number of goat died/slaughtered/lost per  household during last 4 weeks	2017	2	63		CLiMIS	Jonglei		South Sudan
Average number of sheep died/slaughtered/lost per  household during last 4 weeks	2017	1	39		CLiMIS	Jonglei		South Sudan
Average number of sheep died/slaughtered/lost per  household during last 4 weeks	2017	2	56		CLiMIS	Jonglei		South Sudan
Average number of poultry died/slaughtered/lost per  household during last 4 weeks	2017	1	23		CLiMIS	Jonglei		South Sudan
Average number of poultry died/slaughtered/lost per  household during last 4 weeks	2017	2	17		CLiMIS	Jonglei		South Sudan
Average current stock of cattle per household	2017	1	14		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average current stock of cattle per household	2017	2	15		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average current stock of goat per household	2017	1	21		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average current stock of goat per household	2017	2	16		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average current stock of sheep per household	2017	1	6		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average current stock of sheep per household	2017	2	7		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average current stock of poultry per household	2017	1	13		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average current stock of poultry per household	2017	2	11		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average number of goat born per household during last 4 weeks	2017	1	1		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average number of goat born per household during last 4 weeks	2017	2	1		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average number of poultry born per household during last 4 weeks	2017	1	3		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average number of cattle acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	1		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average number of cattle acquired per household during last 4 weeks (dowry, purchase, gift)	2017	2	1		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average number of sheep acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	1		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average number of goat sold per household during last 4 weeks household	2017	1	1		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average number of poultry sold per household during last 4 weeks household	2017	1	1		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average price of cattle sold	2017	1	4,250	SSP	CLiMIS	Northern Bahr El Ghazal		South Sudan
Average price of cattle sold	2017	2	6,800	SSP	CLiMIS	Northern Bahr El Ghazal		South Sudan
Average price of goat sold	2017	1	2,000	SSP	CLiMIS	Northern Bahr El Ghazal		South Sudan
Average price of goat sold	2017	2	500	SSP	CLiMIS	Northern Bahr El Ghazal		South Sudan
Average price of poultry sold	2017	1	100	SSP	CLiMIS	Northern Bahr El Ghazal		South Sudan
Average number of poultry died/slaughtered/lost per  household during last 4 weeks	2017	1	1		CLiMIS	Northern Bahr El Ghazal		South Sudan
Average current stock of cattle per household	2017	1	85		CLiMIS	Warrap		South Sudan
Average current stock of cattle per household	2017	3	17		CLiMIS	Warrap		South Sudan
Average current stock of cattle per household	2017	4	16		CLiMIS	Warrap		South Sudan
Average current stock of goat per household	2017	1	36		CLiMIS	Warrap		South Sudan
Average current stock of goat per household	2017	3	23		CLiMIS	Warrap		South Sudan
Average current stock of goat per household	2017	4	17		CLiMIS	Warrap		South Sudan
Average current stock of sheep per household	2017	1	35		CLiMIS	Warrap		South Sudan
Average current stock of sheep per household	2017	3	6		CLiMIS	Warrap		South Sudan
Average current stock of sheep per household	2017	4	10		CLiMIS	Warrap		South Sudan
Average current stock of poultry per household	2017	1	17		CLiMIS	Warrap		South Sudan
Average current stock of poultry per household	2017	3	10		CLiMIS	Warrap		South Sudan
Average current stock of poultry per household	2017	4	20		CLiMIS	Warrap		South Sudan
Average number of cattle born per household during last 4 weeks	2017	1	4		CLiMIS	Warrap		South Sudan
Average number of cattle born per household during last 4 weeks	2017	3	2		CLiMIS	Warrap		South Sudan
Average number of cattle born per household during last 4 weeks	2017	4	2		CLiMIS	Warrap		South Sudan
Average number of goat born per household during last 4 weeks	2017	1	4		CLiMIS	Warrap		South Sudan
Average number of goat born per household during last 4 weeks	2017	3	4		CLiMIS	Warrap		South Sudan
Average number of goat born per household during last 4 weeks	2017	4	2		CLiMIS	Warrap		South Sudan
Average number of sheep born per household during last 4 weeks	2017	1	3		CLiMIS	Warrap		South Sudan
Average number of sheep born per household during last 4 weeks	2017	3	1		CLiMIS	Warrap		South Sudan
Average number of sheep born per household during last 4 weeks	2017	4	2		CLiMIS	Warrap		South Sudan
Average number of poultry born per household during last 4 weeks	2017	1	4		CLiMIS	Warrap		South Sudan
Average number of poultry born per household during last 4 weeks	2017	4	5		CLiMIS	Warrap		South Sudan
Average number of cattle acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	2		CLiMIS	Warrap		South Sudan
Average number of goat acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	1		CLiMIS	Warrap		South Sudan
Average number of goat acquired per household during last 4 weeks (dowry, purchase, gift)	2017	3	1		CLiMIS	Warrap		South Sudan
Average number of goat acquired per household during last 4 weeks (dowry, purchase, gift)	2017	4	2		CLiMIS	Warrap		South Sudan
Average number of sheep acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	1		CLiMIS	Warrap		South Sudan
Average number of poultry acquired per household during last 4 weeks (dowry, purchase, gift)	2017	1	1		CLiMIS	Warrap		South Sudan
Average number of cattle given out as bride price/gift per household during last 4 weeks per household	2017	1	1		CLiMIS	Warrap		South Sudan
Average number of cattle given out as bride price/gift per household during last 4 weeks per household	2017	4	1		CLiMIS	Warrap		South Sudan
Average number of goat given out as bride price/gift per household during last 4 weeks per household	2017	1	1		CLiMIS	Warrap		South Sudan
Average number of goat given out as bride price/gift per household during last 4 weeks per household	2017	3	1		CLiMIS	Warrap		South Sudan
Average number of goat given out as bride price/gift per household during last 4 weeks per household	2017	4	2		CLiMIS	Warrap		South Sudan
Average number of sheep given out as bride price/gift per household during last 4 weeks per household	2017	1	1		CLiMIS	Warrap		South Sudan
Average number of sheep given out as bride price/gift per household during last 4 weeks per household	2017	3	1		CLiMIS	Warrap		South Sudan
Average number of sheep given out as bride price/gift per household during last 4 weeks per household	2017	4	1		CLiMIS	Warrap		South Sudan
Average number of poultry given out as bride price/gift per household during last 4 weeks per household	2017	1	1		CLiMIS	Warrap		South Sudan
Average number of poultry given out as bride price/gift per household during last 4 weeks per household	2017	4	1		CLiMIS	Warrap		South Sudan
Average number of cattle sold per household during last 4 weeks household	2017	1	2		CLiMIS	Warrap		South Sudan
Average number of cattle sold per household during last 4 weeks household	2017	3	1		CLiMIS	Warrap		South Sudan
Average number of cattle sold per household during last 4 weeks household	2017	4	1		CLiMIS	Warrap		South Sudan
Average number of goat sold per household during last 4 weeks household	2017	1	3		CLiMIS	Warrap		South Sudan
Average number of goat sold per household during last 4 weeks household	2017	3	2		CLiMIS	Warrap		South Sudan
Average number of sheep sold per household during last 4 weeks household	2017	1	2		CLiMIS	Warrap		South Sudan
Average number of poultry sold per household during last 4 weeks household	2017	1	2		CLiMIS	Warrap		South Sudan
Average number of poultry sold per household during last 4 weeks household	2017	3	1		CLiMIS	Warrap		South Sudan
Average number of poultry sold per household during last 4 weeks household	2017	4	3		CLiMIS	Warrap		South Sudan
Average price of cattle sold	2017	1	3,550	SSP	CLiMIS	Warrap		South Sudan
Average price of cattle sold	2017	3	2,100	SSP	CLiMIS	Warrap		South Sudan
Average price of cattle sold	2017	4	9,500	SSP	CLiMIS	Warrap		South Sudan
Average price of goat sold	2017	1	780	SSP	CLiMIS	Warrap		South Sudan
Average price of goat sold	2017	3	400	SSP	CLiMIS	Warrap		South Sudan
Average price of sheep sold	2017	1	828	SSP	CLiMIS	Warrap		South Sudan
Average price of sheep sold	2017	3	2,320	SSP	CLiMIS	Warrap		South Sudan
Average price of poultry sold	2017	1	81	SSP	CLiMIS	Warrap		South Sudan
Average price of poultry sold	2017	3	183	SSP	CLiMIS	Warrap		South Sudan
Average price of poultry sold	2017	4	117	SSP	CLiMIS	Warrap		South Sudan
Average number of cattle exchanged for grain per household during last 4 weeks	2017	3	1		CLiMIS	Warrap		South Sudan
Average number of cattle exchanged for grain per household during last 4 weeks	2017	4	1		CLiMIS	Warrap		South Sudan
Average number of goat exchanged for grain per household during last 4 weeks	2017	3	1		CLiMIS	Warrap		South Sudan
Average number of goat exchanged for grain per household during last 4 weeks	2017	4	2		CLiMIS	Warrap		South Sudan
Average number of sheep exchanged for grain per household during last 4 weeks	2017	4	1		CLiMIS	Warrap		South Sudan
Average number of poultry exchanged for grain per household during last 4 weeks	2017	4	50		CLiMIS	Warrap		South Sudan
Average number of cattle died/slaughtered/lost per  household during last 4 weeks	2017	1	5		CLiMIS	Warrap		South Sudan
Average number of cattle died/slaughtered/lost per  household during last 4 weeks	2017	3	2		CLiMIS	Warrap		South Sudan
Average number of cattle died/slaughtered/lost per  household during last 4 weeks	2017	4	2		CLiMIS	Warrap		South Sudan
Average number of goat died/slaughtered/lost per  household during last 4 weeks	2017	1	6		CLiMIS	Warrap		South Sudan
Average number of goat died/slaughtered/lost per  household during last 4 weeks	2017	3	4		CLiMIS	Warrap		South Sudan
Average number of goat died/slaughtered/lost per  household during last 4 weeks	2017	4	1		CLiMIS	Warrap		South Sudan
Average number of sheep died/slaughtered/lost per  household during last 4 weeks	2017	1	5		CLiMIS	Warrap		South Sudan
Average number of poultry died/slaughtered/lost per  household during last 4 weeks	2017	1	8		CLiMIS	Warrap		South Sudan
Average number of poultry died/slaughtered/lost per  household during last 4 weeks	2017	3	4		CLiMIS	Warrap		South Sudan
Average number of poultry died/slaughtered/lost per  household during last 4 weeks	2017	4	4		CLiMIS	Warrap		South Sudan
Average price of cattle	2017	4	12750.0	SSP	CLiMIS	Eastern Equatoria	Budi	South Sudan
Average price of cattle	2017	3	25000.0	SSP	CLiMIS	Eastern Equatoria	Ikotos	South Sudan
Average price of cattle	2017	4	13250.0	SSP	CLiMIS	Eastern Equatoria	Kapoeta East	South Sudan
Average price of cattle	2017	4	22500.0	SSP	CLiMIS	Eastern Equatoria	Kapoeta North	South Sudan
Average price of cattle	2017	4	20000.0	SSP	CLiMIS	Eastern Equatoria	Kapoeta South	South Sudan
Average price of cattle	2017	3	6000.0	SSP	CLiMIS	Eastern Equatoria	Lafon	South Sudan
Average price of cattle	2017	4	14000.0	SSP	CLiMIS	Eastern Equatoria	Torit	South Sudan
Average price of cattle	2017	1	9222.0	SSP	CLiMIS	Jonglei	Pibor	South Sudan
Average price of cattle	2017	2	9333.5	SSP	CLiMIS	Jonglei	Pibor	South Sudan
Average price of cattle	2017	1	21000.0	SSP	CLiMIS	Northern Bahr El Ghazal	Aweil Centre	South Sudan
Average price of cattle	2017	2	15000.0	SSP	CLiMIS	Northern Bahr El Ghazal	Aweil Centre	South Sudan
Average price of cattle	2017	1	18833.333333333332	SSP	CLiMIS	Northern Bahr El Ghazal	Aweil East	South Sudan
Average price of cattle	2017	2	20000.0	SSP	CLiMIS	Northern Bahr El Ghazal	Aweil East	South Sudan
Average price of cattle	2017	2	17000.0	SSP	CLiMIS	Northern Bahr El Ghazal	Aweil North	South Sudan
Average price of cattle	2017	1	18000.0	SSP	CLiMIS	Northern Bahr El Ghazal	Aweil West	South Sudan
Average price of cattle	2017	2	18000.0	SSP	CLiMIS	Northern Bahr El Ghazal	Aweil West	South Sudan
Average price of cattle	2017	1	7000.0	SSP	CLiMIS	Warrap	Gogrial East	South Sudan
Average price of cattle	2017	1	5458.333333333333	SSP	CLiMIS	Warrap	Gogrial West	South Sudan
Average price of cattle	2017	3	9000.0	SSP	CLiMIS	Warrap	Tonj North	South Sudan
Average price of cattle	2017	4	12000.0	SSP	CLiMIS	Warrap	Tonj North	South Sudan
Average price of cattle	2017	3	9625.0	SSP	CLiMIS	Warrap	Tonj South	South Sudan
Average price of cattle	2017	4	9000.0	SSP	CLiMIS	Warrap	Tonj South	South Sudan
Average price of goat	2017	4	2100.0	SSP	CLiMIS	Eastern Equatoria	Budi	South Sudan
Average price of goat	2017	3	1500.0	SSP	CLiMIS	Eastern Equatoria	Ikotos	South Sudan
Average price of goat	2017	4	2250.0	SSP	CLiMIS	Eastern Equatoria	Kapoeta East	South Sudan
Average price of goat	2017	4	800.0	SSP	CLiMIS	Eastern Equatoria	Kapoeta North	South Sudan
Average price of goat	2017	4	5000.0	SSP	CLiMIS	Eastern Equatoria	Kapoeta South	South Sudan
Average price of goat	2017	3	1075.0	SSP	CLiMIS	Eastern Equatoria	Lafon	South Sudan
Average price of goat	2017	4	2250.0	SSP	CLiMIS	Eastern Equatoria	Torit	South Sudan
Average price of goat	2017	1	4000.0	SSP	CLiMIS	Jonglei	Pibor	South Sudan
Average price of goat	2017	2	4000.0	SSP	CLiMIS	Jonglei	Pibor	South Sudan
